Time,Price,Float,Pattern ID
2024-11-26 08:45:32.914776,S$6.17,0.094533078372,736
2024-11-26 07:45:32.914776,S$6.76,0.123907715082,362
2024-11-26 06:45:32.914776,S$6.14,0.091479212046,206
2024-11-26 05:45:32.914776,S$11.19,0.110713548958,2
2024-11-26 05:45:32.914776,S$6.99,0.111154116690,120
2024-11-26 04:45:32.914776,S$7.07,0.093898348510,49
2024-11-26 01:45:32.914776,S$6.04,0.146146297455,554
2024-11-26 01:45:32.914776,S$6.31,0.088438041508,839
2024-11-26 00:45:32.914776,S$6.56,0.128007069230,376
2024-11-25 23:45:32.914776,S$8.54,0.096028052270,381
2024-11-25 23:45:32.914776,S$11.61,0.108868636191,57
2024-11-25 23:45:32.914776,S$6.08,0.106277681887,219
2024-11-25 22:45:32.914776,S$11.35,0.106023952365,824
2024-11-25 20:45:32.914776,S$5.60,0.130971550941,661
2024-11-25 19:45:32.914776,S$6.15,0.127565756440,282
2024-11-25 16:45:32.914776,S$6.15,0.082512356341,839
2024-11-25 15:45:32.914776,S$10.14,0.077960453928,593
2024-11-25 13:45:32.914776,S$10.54,0.096396341920,254
2024-11-25 11:45:32.914776,S$6.02,0.139098778367,75
2024-11-25 10:45:32.914776,S$5.41,0.128576591611,120
2024-11-25 12:44:53.207665,S$6.15,0.126609086990,214
2024-11-25 11:44:53.207665,S$5.87,0.107017681003,45
2024-11-25 08:44:53.207665,S$6.17,0.095250025392,264
2024-11-25 08:44:53.207665,S$6.06,0.131125360727,471
2024-11-25 07:44:53.207665,S$5.91,0.113990947604,666
2024-11-25 07:44:53.207665,S$6.06,0.092659242451,510
2024-11-25 07:44:53.207665,S$6.18,0.090884573758,390
2024-11-25 05:44:53.207665,S$5.99,0.141439288855,513
2024-11-25 05:44:53.207665,S$6.04,0.144537493587,901
2024-11-25 03:44:53.207665,S$5.94,0.132474094629,791
2024-11-25 02:44:53.207665,S$6.45,0.141691744328,96
2024-11-25 00:44:53.207665,S$5.52,0.086513638496,689
2024-11-24 23:44:53.207665,S$5.79,0.147702783346,98
2024-11-24 22:44:53.207665,S$6.04,0.138165637851,524
2024-11-24 22:44:53.207665,S$6.25,0.099122196436,179
2024-11-24 22:44:53.207665,S$5.59,0.102350912988,541
